screen_or_class,file,line,control_type,visible_text,visible_icon,callback,function,enable_disable,input_validation,loading_state,success_state,error_state,empty_state,repeat_press_guard,idempotent,duplicate_send_risk,duplicate_control,empty_or_placeholder_callback,reachable,verification_status
AuthController,lib/controllers/auth_controller.dart,324,ElevatedButton,تحديث كلمة المرور,,onPressed=() async {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,present,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
CatalogController,lib/controllers/catalog_controller.dart,1468,InkWell,🔄 استبدال الكتالوج,sync_rounded,onTap=() => Get.back(result: 'replace'),راجع callback عند file:line,not statically proven,manual/unknown,not proven,present,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
CatalogController,lib/controllers/catalog_controller.dart,1530,InkWell,➕ دمج وتحديث المنتجات,add_to_photos_rounded,onTap=() => Get.back(result: 'merge'),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
SettingsController,lib/controllers/settings_controller.dart,546,TextButton,لاحقاً,,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
SettingsController,lib/controllers/settings_controller.dart,550,ElevatedButton,تحديث الآن ⚡,,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
SmartBouncyWrapper,lib/core/theme/ui_kit/smart_bouncy_wrapper.dart,14,SmartBouncyWrapper,,,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SmartBouncyWrapperState,lib/core/theme/ui_kit/smart_bouncy_wrapper.dart,76,GestureDetector,,,onTap=widget.onTap | onLongPress=widget.onLongPress,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SmartBouncyWrapperState,lib/core/theme/ui_kit/smart_bouncy_wrapper.dart,84,GestureDetector,,,onLongPress=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
SmartNeonButton,lib/core/theme/ui_kit/smart_neon_button.dart,19,SmartNeonButton,,,,راجع callback عند file:line,not statically proven,manual/unknown,present,not proven,not proven,not proven,possible,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
SmartNeonButton,lib/core/theme/ui_kit/smart_neon_button.dart,39,SmartBouncyWrapper,,,onTap=(isLoading || onPressed == null) ? () {} : onPressed!,راجع callback عند file:line,not statically proven,manual/unknown,present,not proven,not proven,not proven,possible,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
SmartNeonTextField,lib/core/theme/ui_kit/smart_neon_text_field.dart,41,TextField,,visibility_off_rounded,onPressed=onToggleVisibility | onSubmitted=onSubmitted,راجع callback عند file:line,conditional/null,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
SmartNeonTextField,lib/core/theme/ui_kit/smart_neon_text_field.dart,54,IconButton,,visibility_off_rounded,onPressed=onToggleVisibility,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
SnackBarUtils,lib/core/utils/snackbar_utils.dart,124,InkWell,,copy_rounded,onTap=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,present,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,70,TextButton,إلغاء,,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,74,ElevatedButton,حذف,,onPressed=() async {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,present,present,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,119,TextButton,إلغاء,,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,123,ElevatedButton,ترقية,,onPressed=() async {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,present,present,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,261,TextButton,إغاق,,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,279,InkWell,,chevron_left_rounded,onTap=onTap,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,474,Switch,,,onChanged=onChanged,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,672,IconButton,,card_membership_rounded,onPressed=() =>,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,689,IconButton,,upgrade_rounded,onPressed=() => _handlePromote(,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,697,IconButton,,tune_rounded,onPressed=() =>,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_UsersListScreenState,lib/screens/admin/users_list_screen.dart,704,IconButton,,delete_outline_rounded,onPressed=() =>,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,231,IconButton,,warning_amber_rounded,onPressed=() => _confirmAction(,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,244,IconButton,,psychology_alt_rounded,onPressed=() =>,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,251,IconButton,,cloud_sync_rounded,onPressed=() => adminController.syncModifiedPermissions(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,257,IconButton,,cleaning_services_rounded,onPressed=() => _confirmAction(,راجع callback عند file:line,not statically proven,manual/unknown,not proven,present,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,269,IconButton,,insights_rounded,onPressed=() => _showAllActivityFeed(context,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,275,IconButton,,refresh_rounded,onPressed=() => adminController.loadData(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,544,TextField,,search_rounded,onPressed=() => controller.searchQuery.value = '' | onChanged=(v) => controller.searchQuery.value = v,راجع callback عند file:line,conditional/null,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,554,IconButton,,clear_rounded,onPressed=() => controller.searchQuery.value = '',راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,578,GestureDetector,,,onTap=() => controller.filterRole.value = f.$1,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,616,PopupMenuButton,الأحدث أولاً,sort_rounded,onSelected=(v) => controller.filterSort.value = v,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,959,IconButton,,stars_rounded,onPressed=(user['email'] ?? '').toString().toLowerCase().trim() == '[REDACTED_EMAIL]',راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,1884,DropdownButton,,keyboard_arrow_down_rounded,onChanged=(newRole) {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,1917,PopupMenuButton,إعادة تعيين الصلاحيات,more_vert_rounded,onTap=() => _confirmAction(,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2041,TextButton,إلغاء,,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2046,ElevatedButton,تأكيد,,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2320,Switch,,,onChanged=onChanged,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2415,IconButton,,close,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2566,Slider,,,onChanged=(v) => controller,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2600,ElevatedButton,حفظ التغييرات العالمية 💾,,onPressed=() async {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2661,TextField,,,onChanged=(v) =>,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2837,TextButton,إغلاق,,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2856,InkWell,,chevron_left_rounded,onTap=onTap,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2975,IconButton,,refresh_rounded,onPressed=() => controller.loadAllRecentActivity(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminDashboardScreen,lib/screens/admin_dashboard_screen.dart,2980,IconButton,,close_rounded,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_AiChatScreenState,lib/screens/ai_chat_screen.dart,260,GestureDetector,,arrow_downward,onPressed=() => _scrollToBottom(force: true) | onTap=() => FocusManager.instance.primaryFocus?.unfocus(),راجع callback عند file:line,conditional/null,manual/unknown,present,not proven,present,not proven,possible,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_AiChatScreenState,lib/screens/ai_chat_screen.dart,430,IconButton,,menu,onPressed=() => Scaffold.of(context).openDrawer()),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_AiChatScreenState,lib/screens/ai_chat_screen.dart,444,IconButton,,,onPressed=onTap),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_AiChatScreenState,lib/screens/ai_chat_screen.dart,450,IconButton,,,onPressed=onTap),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_AccountConfirmationScreenState,lib/screens/auth/account_confirmation_screen.dart,118,SmartTextField,,security_rounded,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_AccountConfirmationScreenState,lib/screens/auth/account_confirmation_screen.dart,132,TextButton,إرسال الرمز مرة أخرى,,onPressed=() => _auth.requestRegistrationOtp(email),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_EditProfileScreenState,lib/screens/auth/edit_profile_screen.dart,193,IconButton,,arrow_back_ios_new_rounded,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_EditProfileScreenState,lib/screens/auth/edit_profile_screen.dart,207,GestureDetector,,add_photo_alternate_rounded,onTap=() => _pickImage(ImageSource.gallery,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_EditProfileScreenState,lib/screens/auth/edit_profile_screen.dart,251,GestureDetector,,camera_alt_rounded,onTap=() => _pickImage(ImageSource.gallery,راجع callback عند file:line,conditional/null,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_EditProfileScreenState,lib/screens/auth/edit_profile_screen.dart,369,TextFormField,,,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_EditProfileScreenState,lib/screens/auth/edit_profile_screen.dart,422,GestureDetector,تأكيد التعديلات,,onTap=_auth.isLoading.value ? null : _handleSave,راجع callback عند file:line,conditional/null,manual/unknown,present,not proven,not proven,not proven,possible,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_LoginScreenState,lib/screens/auth/login_screen.dart,133,SmartTextField,,alternate_email_rounded,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_LoginScreenState,lib/screens/auth/login_screen.dart,141,SmartTextField,,lock_outline_rounded,onPressed=() => setState(() => _obscurePassword = !_obscurePassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_LoginScreenState,lib/screens/auth/login_screen.dart,147,IconButton,,visibility_off,onPressed=() => setState(() => _obscurePassword = !_obscurePassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_LoginScreenState,lib/screens/auth/login_screen.dart,175,TextButton,,,onPressed=() => _showForgotPasswordBottomSheet(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_LoginScreenState,lib/screens/auth/login_screen.dart,221,TextButton,,login_rounded,onPressed=() => _auth.signInWithGoogle(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_LoginScreenState,lib/screens/auth/login_screen.dart,273,TextButton,,,onPressed=() => Get.toNamed('/signup'),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_LoginScreenState,lib/screens/auth/login_screen.dart,318,SmartTextField,,email_rounded,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
