finding_id,severity,confidence,status,category,title,description,evidence,file,start_line,end_line,affected_flow,user_impact,technical_impact,recommended_fix,verification_method,dependencies,risk_of_fix
ISSUE_DUP_11,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/icons/Icon-maskable-512.png, web/icons/Icon-maskable-512.png",Matching SHA-256 hash 6aee06cdcab6b2aef74b1734c4778f4421d2da100b0ff9e52b21b55240202929,web_landing/app/icons/Icon-maskable-512.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_12,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/lib/services/data/mock_tiktok_trends.json, lib/services/data/mock_tiktok_trends.json",Matching SHA-256 hash 263808580c4e8b9117144fd144a2e63ab775eb0a66ce3285c3a7fe76841650a2,web_landing/app/assets/lib/services/data/mock_tiktok_trends.json,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_13,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Bold.ttf, assets/fonts/IBMPlexSansArabic-Bold.ttf",Matching SHA-256 hash 664e3dc2424024aa10cd9cee07be46601cba2aa30d29ffa1ae3f7e0d79b5b49b,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Bold.ttf,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_14,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-ExtraLight.ttf, assets/fonts/IBMPlexSansArabic-ExtraLight.ttf",Matching SHA-256 hash c1e417e69127a2d202205658b05fd49fa6c07f20c6312374dd716d39c7861f4a,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-ExtraLight.ttf,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_15,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Light.ttf, assets/fonts/IBMPlexSansArabic-Light.ttf",Matching SHA-256 hash e7e4d767fc2694e0d0d548bd1c2c4c92a6beed06fe645fe628ff19a8443ecbdd,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Light.ttf,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_16,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Medium.ttf, assets/fonts/IBMPlexSansArabic-Medium.ttf",Matching SHA-256 hash 9de4e0fa5a0b8574e6fe2f291efee21703e184bcb56dd5bfeb5dd06cacb808f2,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Medium.ttf,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_17,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Regular.ttf, assets/fonts/IBMPlexSansArabic-Regular.ttf",Matching SHA-256 hash acfedf95e912ff35eefe6e38ea74a9381b788499d1e8b608b0d5bb9d41445a60,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Regular.ttf,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_18,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-SemiBold.ttf, assets/fonts/IBMPlexSansArabic-SemiBold.ttf",Matching SHA-256 hash 62c93685cff98e965d584fb3438f20af6edd6714b823c0a8c63b47fd586d99a6,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-SemiBold.ttf,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_19,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Thin.ttf, assets/fonts/IBMPlexSansArabic-Thin.ttf",Matching SHA-256 hash 0c81b1a08fc5d44563b92c40925122894bf686e15f34cf3a41a9358c674fe830,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Thin.ttf,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_20,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/NotoSansArabic-Bold.ttf, assets/fonts/NotoSansArabic-Bold.ttf",Matching SHA-256 hash ed2711b387750ae991b6a980b8dd16fdd65e6702b97e9f52adf3a8edf09ef4df,web_landing/app/assets/assets/fonts/NotoSansArabic-Bold.ttf,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_21,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/NotoSansArabic-Regular.ttf, assets/fonts/NotoSansArabic-Regular.ttf",Matching SHA-256 hash ceea25b464a656dc3b26849bab9356740401af62aedf1bfa8b7f0d9b75925b1b,web_landing/app/assets/assets/fonts/NotoSansArabic-Regular.ttf,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_22,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/fonts/OFL.txt, assets/fonts/OFL.txt",Matching SHA-256 hash 0fc74640fdcd67c036e1fced58d7e4478897a333cd92b981115a3e324337577f,web_landing/app/assets/assets/fonts/OFL.txt,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_23,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/images/styles/cinematic.png, assets/images/styles/cinematic.png",Matching SHA-256 hash a8717ecaa12cf6e66818347a6ff44298efa66ed02e79563f62454d92d172f3ef,web_landing/app/assets/assets/images/styles/cinematic.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_24,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/images/styles/kitchen.png, assets/images/styles/kitchen.png",Matching SHA-256 hash 815823be9c645355e868bdd653e27a2d4b05361c9e7da47f1d9cbfb1d3366c99,web_landing/app/assets/assets/images/styles/kitchen.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_25,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/images/styles/logoapp.jpeg, assets/images/styles/logoapp.jpeg",Matching SHA-256 hash 680c88ed2b0a1c72404553ce77b7bbdea7e58a599b07d296dd7e21d5fef8d37e,web_landing/app/assets/assets/images/styles/logoapp.jpeg,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_26,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/images/styles/luxury.png, assets/images/styles/luxury.png",Matching SHA-256 hash 551b26d299f3d32f279ef54035f136f5a8f68a84f3a5e0d0a664f26e70a8e942,web_landing/app/assets/assets/images/styles/luxury.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_27,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/images/styles/minimal.png, assets/images/styles/minimal.png",Matching SHA-256 hash 3a3e2bf9b94b6da1276af2a7aa05b22058296ce61ca76142dcdadcd06897c069,web_landing/app/assets/assets/images/styles/minimal.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_28,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/images/styles/nature.png, assets/images/styles/nature.png",Matching SHA-256 hash bcd2949a3104e0edc68c38e4f7e86b97220fa6fc0518efe918e7a3c7dccc5ba9,web_landing/app/assets/assets/images/styles/nature.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_29,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/images/styles/neon.png, assets/images/styles/neon.png",Matching SHA-256 hash 847eefe7ca1edb114b3342d439c8de2466c8e55b172b5c7f658c724e2548b305,web_landing/app/assets/assets/images/styles/neon.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_30,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/assets/assets/images/styles/WhatsApp%20Image%202026-03-28%20at%209.14.03%20PM.jpeg, assets/images/styles/WhatsApp Image 2026-03-28 at 9.14.03 PM.jpeg",Matching SHA-256 hash 90db1933fe6c5457b00ba86d197bb4ede4d155a750202dab89a1cf3ed7f76338,web_landing/app/assets/assets/images/styles/WhatsApp%20Image%202026-03-28%20at%209.14.03%20PM.jpeg,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_31,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: macos/Flutter/Flutter-Debug.xcconfig, macos/Flutter/Flutter-Release.xcconfig",Matching SHA-256 hash 7e9b3ee3961b7d7718b418ceaed812a5f06a4e4cec894aae712a78e159c32ab0,macos/Flutter/Flutter-Debug.xcconfig,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_32,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: macos/Runner.xcworkspace/contents.xcworkspacedata, ios/Runner.xcworkspace/contents.xcworkspacedata",Matching SHA-256 hash 706a4c812f2a1e220e6785c27580020d58048e2ae4d30d1280f3c43344ce6b38,macos/Runner.xcworkspace/contents.xcworkspacedata,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_33,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (4 copies),"Exact duplicate files detected: macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist, macos/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist, ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist, ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist",Matching SHA-256 hash d557c2c32fc6258ec28981fa45dc847b76c9968beb90a2e26d13ef9c4ea45c30,macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_34,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: ios/Flutter/Debug.xcconfig, ios/Flutter/Release.xcconfig",Matching SHA-256 hash c0d1da54718e75f2028962b689258ecc741abf7cdaed50483aa5225264d0a7d7,ios/Flutter/Debug.xcconfig,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_35,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings, ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings",Matching SHA-256 hash dd64c0308ab2971c456871b990b24a008bdc3ece09833e8dbe9675e33a496e74,ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_36,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@2x.png, ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@1x.png",Matching SHA-256 hash daf36f1db2baaa10df99b26afb625bae7a4fb0d841a0737b6e45c2e0af5fa336,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@2x.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_37,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@3x.png, ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@2x.png",Matching SHA-256 hash 1713f50602f283be11f241acdfaa8a30e78f7659c42a17b09861db91f03147c5,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@3x.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_38,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-72x72@1x.png, android/app/src/main/res/mipmap-hdpi/ic_launcher.png",Matching SHA-256 hash aacb01bdeb7d6cd8966cb6697b10ef56303ceb441b71954d20ba5b6dfc15b29a,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-72x72@1x.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_39,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-72x72@2x.png, android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png",Matching SHA-256 hash ca63dad3da078536988410fc5fdb384c5f9fef4c2f6e0da6895e21bc951e4511,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-72x72@2x.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_40,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (3 copies),"Exact duplicate files detected: ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage.png, ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@2x.png, ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@3x.png",Matching SHA-256 hash 93ae7d494fad0fb30cbf3ae746a39c4bc7a0f8bbf87fbb587a3f3c01f3c5ce20,ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_41,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: android/app/src/debug/AndroidManifest.xml, android/app/src/profile/AndroidManifest.xml",Matching SHA-256 hash b01a4541a8144c15bc617bab7eb267c99fa1476368fbbda5a12cdbf4e316a34c,android/app/src/debug/AndroidManifest.xml,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_42,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (27 copies),"Exact duplicate files detected: android/.kotlin/errors/errors-1776865881955.log, android/.kotlin/errors/errors-1776865882132.log, android/.kotlin/errors/errors-1776865882204.log, android/.kotlin/errors/errors-1776865882448.log, android/.kotlin/errors/errors-1776865882537.log, android/.kotlin/errors/errors-1776865882597.log, android/.kotlin/errors/errors-1776865882645.log, android/.kotlin/errors/errors-1776865882775.log, android/.kotlin/errors/errors-1776865882814.log, android/.kotlin/errors/errors-1776865882876.log, android/.kotlin/errors/errors-1776865882967.log, android/.kotlin/errors/errors-1776866694965.log, android/.kotlin/errors/errors-1776866695191.log, android/.kotlin/errors/errors-1776953522824.log, android/.kotlin/errors/errors-1776953855041.log, android/.kotlin/errors/errors-1776956589240.log, android/.kotlin/errors/errors-1776956593060.log, android/.kotlin/errors/errors-1776956593522.log, android/.kotlin/errors/errors-1776956593567.log, android/.kotlin/errors/errors-1776956593604.log, android/.kotlin/errors/errors-1776956593784.log, android/.kotlin/errors/errors-1776956593840.log, android/.kotlin/errors/errors-1776956593911.log, android/.kotlin/errors/errors-1777052907718.log, android/.kotlin/errors/errors-1777390459862.log, android/.kotlin/errors/errors-1777496101976.log, android/.kotlin/errors/errors-1777496105937.log",Matching SHA-256 hash 1629c3cad7b2c904fbb6860ca607b6df7081f5fa0274b468bf7c8dd873b5644b,android/.kotlin/errors/errors-1776865881955.log,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_ORPHAN_43,MEDIUM,HIGH,DEAD_CODE,Orphan / Temp Artifact in lib/,Leftover scratch file in production directory: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Bold.ttf,File web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Bold.ttf (236740 bytes) is located inside source directories and appears to be a leftover temporary or backup file.,"File name: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Bold.ttf, size: 236740 bytes.",web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Bold.ttf,1,1982,Source repository cleanliness,"None directly, but clutters build and analysis.",Causes confusion in codebase and increases bundle size.,Safely delete orphan files after confirming no active imports.,Grep search for imports.,None,Low
ISSUE_ORPHAN_44,MEDIUM,HIGH,DEAD_CODE,Orphan / Temp Artifact in lib/,Leftover scratch file in production directory: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-SemiBold.ttf,File web_landing/app/assets/assets/fonts/IBMPlexSansArabic-SemiBold.ttf (234716 bytes) is located inside source directories and appears to be a leftover temporary or backup file.,"File name: web_landing/app/assets/assets/fonts/IBMPlexSansArabic-SemiBold.ttf, size: 234716 bytes.",web_landing/app/assets/assets/fonts/IBMPlexSansArabic-SemiBold.ttf,1,2003,Source repository cleanliness,"None directly, but clutters build and analysis.",Causes confusion in codebase and increases bundle size.,Safely delete orphan files after confirming no active imports.,Grep search for imports.,None,Low
ISSUE_ORPHAN_45,MEDIUM,HIGH,DEAD_CODE,Orphan / Temp Artifact in lib/,Leftover scratch file in production directory: web_landing/app/assets/assets/fonts/NotoSansArabic-Bold.ttf,File web_landing/app/assets/assets/fonts/NotoSansArabic-Bold.ttf (248468 bytes) is located inside source directories and appears to be a leftover temporary or backup file.,"File name: web_landing/app/assets/assets/fonts/NotoSansArabic-Bold.ttf, size: 248468 bytes.",web_landing/app/assets/assets/fonts/NotoSansArabic-Bold.ttf,1,3649,Source repository cleanliness,"None directly, but clutters build and analysis.",Causes confusion in codebase and increases bundle size.,Safely delete orphan files after confirming no active imports.,Grep search for imports.,None,Low
